firma_id,provincia,municipio,pliego,fedatario,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y
0,Valladolid,918,2902,8,1,1,1,1,1,1,0,0,0,0,0.1125,5.219,0,0
1,Valladolid,378,561,72,1,1,0,1,1,1,2,0,0,0,0.0918,1.591,1,0
2,Leon,1656,629,276,1,1,1,1,1,1,1,0,2,0,0.0764,3.665,2,0
3,Zamora,981,752,65,1,1,0,1,2,1,1,0,2,0,0.0898,7.025,1,0
4,Leon,99,2473,359,1,1,1,1,1,1,0,0,0,0,0.0306,13.122,0,0
5,Burgos,1745,713,204,1,1,1,1,1,1,1,0,1,0,0.173,2.459,0,0
6,Salamanca,2171,1290,0,1,1,1,1,2,1,2,0,0,0,0.0,1.354,0,0
7,Segovia,2143,933,33,1,1,1,1,1,1,1,0,0,0,0.3587,3.021,0,0
8,Zamora,1080,176,350,1,1,1,1,1,1,0,0,0,0,0.0141,3.659,2,0
9,Burgos,942,1896,328,1,1,1,1,1,1,1,0,0,0,0.0992,2.046,1,0
10,Leon,1710,1912,202,1,1,1,1,3,1,0,0,1,0,0.1637,1.156,1,0
11,Salamanca,1808,276,245,1,1,1,1,1,1,1,0,1,0,0.1124,6.858,2,0
12,Leon,1629,1177,450,1,1,1,1,3,1,1,0,0,0,0.2214,7.521,0,0
13,Palencia,2211,195,295,1,1,1,1,1,2,1,0,0,0,0.2034,1.065,0,0
14,Leon,85,351,5,1,1,1,1,2,2,0,0,2,0,0.0961,5.856,1,1
15,Burgos,198,2308,308,1,1,1,1,3,1,0,0,0,0,0.2718,4.748,1,0
16,Segovia,1382,2752,334,1,1,1,1,2,2,2,0,1,0,0.2918,8.231,0,1
17,Salamanca,2095,2558,420,1,1,1,1,1,1,1,0,0,0,0.501,0.466,6,0
18,Valladolid,1678,2181,24,1,1,1,1,1,1,0,0,0,0,0.0396,0.929,0,0
19,Avila,1578,1987,208,1,1,1,1,2,1,0,0,0,0,0.0581,2.366,0,0
20,Avila,670,1050,416,1,1,1,1,2,1,0,0,1,0,0.1186,3.52,0,0
21,Soria,1026,2892,37,1,1,0,1,1,2,0,0,0,0,0.1334,4.812,1,0
22,Valladolid,307,2844,129,1,1,1,1,2,1,1,0,0,0,0.1615,6.687,2,1
23,Zamora,398,705,192,1,1,1,1,1,1,1,0,0,0,0.0312,11.025,2,0
24,Burgos,1437,2266,60,1,1,1,1,1,1,1,0,0,0,0.8322,0.294,9,0
25,Valladolid,2141,2123,476,1,1,1,1,2,1,1,0,0,0,0.0649,3.156,1,0
26,Valladolid,1612,106,72,1,1,1,1,2,2,0,0,0,0,0.0419,3.238,0,0
27,Leon,1016,2881,477,1,1,0,1,1,1,0,0,1,0,0.055,0.918,2,0
28,Segovia,647,2149,136,1,1,0,1,4,1,0,0,0,0,0.3478,4.716,2,0
29,Valladolid,298,2230,231,1,1,1,1,1,1,1,0,0,0,0.1001,4.534,1,0
30,Valladolid,790,1024,25,1,1,1,1,3,1,1,0,0,0,0.1016,1.054,0,0
31,Valladolid,51,889,302,0,1,1,1,1,1,0,0,1,0,0.0994,3.721,1,0
32,Burgos,1543,1587,58,1,1,1,1,2,2,1,0,1,0,0.106,2.102,1,0
33,Valladolid,1202,2188,291,0,1,1,1,1,1,0,0,1,0,0.099,3.936,0,0
34,Valladolid,257,2168,371,1,1,1,1,1,1,0,0,0,0,0.0375,0.63,0,0
35,Zamora,860,864,228,1,1,1,1,2,1,0,0,0,0,0.0959,2.163,0,0
36,Valladolid,259,1648,343,1,1,1,1,1,3,1,1,1,0,0.1296,1.198,0,1
37,Valladolid,219,413,159,1,1,1,1,2,1,2,0,0,0,0.1306,2.251,1,0
38,Palencia,1098,2919,165,1,1,0,1,4,1,2,0,0,0,0.9073,0.217,3,1
39,Soria,1373,2408,438,1,1,1,0,1,1,0,0,0,0,0.0049,9.381,0,0
40,Burgos,2179,2742,187,1,1,1,1,1,1,0,0,1,0,0.0601,1.991,1,0
41,Palencia,198,2076,141,1,1,1,1,1,1,0,0,0,0,0.6228,0.111,6,0
42,Burgos,1058,977,411,1,1,1,1,1,1,0,0,0,0,0.0707,7.812,1,0
43,Salamanca,1188,168,307,0,1,1,1,3,1,1,0,0,0,0.0852,6.118,0,0
44,Burgos,352,1576,164,1,1,1,1,2,1,0,0,1,0,0.2989,4.476,1,0
45,Valladolid,1403,2611,217,0,1,1,1,1,1,2,0,1,0,0.0365,6.594,0,0
46,Avila,1380,2621,160,1,1,1,1,1,1,0,0,2,0,0.6721,0.52,6,0
47,Leon,1902,2798,388,1,1,1,1,1,2,0,0,0,0,0.1153,4.335,0,0
48,Burgos,1351,2962,498,1,1,1,1,1,1,0,0,0,0,0.1547,1.077,1,0
49,Valladolid,70,2706,461,1,1,1,1,2,1,0,0,0,0,0.0124,2.868,1,0
50,Valladolid,848,1018,456,1,0,1,1,1,1,2,1,2,1,0.2107,0.985,1,1
51,Valladolid,2235,1478,40,1,1,1,1,1,1,0,0,0,0,0.7813,0.0,2,0
52,Burgos,1665,303,307,1,1,1,1,1,1,0,0,0,0,0.0128,2.283,2,0
53,Palencia,1274,1763,221,1,1,1,1,1,1,0,0,2,0,0.3284,1.629,2,0
54,Segovia,491,2821,340,1,1,1,1,2,1,2,0,0,0,0.0711,1.791,2,0
55,Soria,1555,1727,349,1,1,1,1,1,1,2,0,0,0,0.1372,2.282,1,0
56,Valladolid,837,805,155,1,1,1,1,1,2,1,0,0,0,0.1746,2.631,2,0
57,Palencia,332,947,87,1,1,1,1,1,1,2,0,0,0,0.0873,0.0,4,0
58,Salamanca,1176,1005,51,1,1,1,0,1,1,0,0,0,0,0.1571,1.764,2,0
59,Burgos,246,2187,483,1,1,1,1,2,1,1,0,1,0,0.0,9.701,0,0
60,Burgos,1639,2732,93,1,1,1,1,1,2,2,0,0,0,0.0,1.188,3,0
61,Segovia,271,486,93,1,1,1,1,2,1,0,0,1,0,0.1265,6.247,1,0
62,Valladolid,315,2135,182,1,0,1,1,1,1,0,0,0,0,0.0222,3.655,1,0
63,Leon,2138,1799,346,1,1,1,1,1,1,1,0,0,0,0.0462,5.758,1,0
64,Segovia,422,1029,72,1,1,1,1,1,1,2,0,1,0,0.2193,2.025,1,0
65,Zamora,2025,1678,428,1,1,1,1,1,1,1,0,0,0,0.0571,9.278,1,0
66,Segovia,1214,446,54,1,1,1,1,1,1,0,0,0,0,0.0782,3.494,1,0
67,Valladolid,1371,1631,307,1,1,1,1,1,1,1,1,0,0,0.049,11.167,0,0
68,Segovia,1510,1160,410,1,1,1,1,3,1,0,0,0,0,0.098,7.283,1,0
69,Palencia,842,1230,328,1,1,1,1,1,1,0,0,0,0,0.2596,8.998,1,0
70,Valladolid,1542,1288,421,1,1,1,1,1,1,1,0,0,0,0.147,0.777,1,0
71,Valladolid,1477,1744,447,1,1,1,1,1,2,2,0,0,0,0.1522,2.934,1,0
72,Valladolid,1575,236,119,1,1,1,1,3,1,0,0,0,0,0.0758,6.897,1,0
73,Leon,2244,2811,456,1,1,1,1,1,1,0,0,0,0,0.3016,1.247,1,0
74,Palencia,789,2638,316,1,1,1,1,1,1,2,0,0,0,0.1301,4.276,0,0
75,Zamora,407,793,276,1,0,0,0,1,1,4,0,0,0,0.8002,0.625,5,1
76,Salamanca,387,1498,191,0,1,0,1,1,1,0,0,2,0,0.3243,7.015,1,0
77,Valladolid,1049,1929,442,1,1,1,1,4,1,1,0,0,0,0.0843,7.415,0,0
78,Burgos,138,2356,69,1,1,1,1,1,2,0,0,0,0,0.2583,5.573,2,0
79,Avila,1517,2468,497,1,1,1,1,1,1,0,0,0,0,0.0927,2.03,1,0
80,Leon,781,2252,452,1,1,1,1,1,1,0,0,0,0,0.0409,3.773,1,0
81,Zamora,206,135,144,1,1,1,1,1,2,0,0,1,0,0.2802,3.089,1,0
82,Soria,1406,2050,229,1,1,0,1,1,2,0,0,0,0,0.015,2.838,3,0
83,Soria,39,2753,55,1,1,1,1,1,1,2,0,0,0,0.043,6.834,1,0
84,Valladolid,432,2161,257,1,1,1,1,2,2,0,0,1,0,0.5056,0.0,6,0
85,Valladolid,1096,1497,63,0,1,0,1,1,1,1,0,0,0,0.169,6.556,0,0
86,Valladolid,411,2669,6,1,1,1,1,3,1,0,0,0,0,0.0308,2.877,0,0
87,Palencia,216,336,333,1,1,1,1,2,1,2,0,0,0,0.0496,7.902,2,0
88,Salamanca,1918,2111,280,0,1,0,0,4,4,2,1,1,1,0.2933,3.39,4,1
89,Leon,1697,1284,413,1,1,1,1,4,1,0,0,0,0,0.0122,1.609,3,0
90,Palencia,542,1162,242,1,1,1,1,1,1,0,0,0,0,0.6082,0.118,5,0
91,Zamora,1054,2502,2,1,1,1,1,1,1,0,0,0,0,0.1264,2.381,3,0
92,Avila,1670,27,71,1,1,1,1,2,2,1,0,0,0,0.5448,0.143,5,0
93,Leon,1896,2151,350,1,1,1,1,3,1,1,0,1,0,0.7462,0.211,5,0
94,Soria,1155,2030,371,1,1,1,1,2,1,1,0,0,1,0.3167,1.665,0,0
95,Burgos,517,1509,195,1,1,1,1,3,2,1,0,0,0,0.3072,3.191,1,1
96,Valladolid,1858,1291,125,1,1,1,1,1,1,0,0,0,1,0.0945,6.863,1,0
97,Soria,1012,2707,194,1,1,1,1,1,1,2,0,0,0,0.0749,4.291,0,0
98,Valladolid,108,2417,238,1,1,1,1,2,1,0,0,1,1,0.126,4.669,1,0
99,Burgos,421,835,193,1,1,1,1,2,1,0,0,0,0,0.1052,1.277,0,0
100,Soria,1702,2928,4,1,1,1,1,2,2,0,0,0,0,0.0545,0.699,1,0
101,Avila,1554,1856,185,1,1,1,1,2,1,2,0,0,0,0.4617,0.0,2,0
102,Valladolid,1591,1066,183,1,1,0,1,1,1,1,0,0,0,0.1516,6.676,5,0
103,Leon,1440,711,210,1,1,0,1,1,1,0,0,1,0,0.1685,1.789,0,0
104,Zamora,222,2540,58,1,1,1,1,1,2,0,0,0,0,0.1078,4.024,0,0
105,Zamora,1694,1475,298,1,1,0,1,1,1,1,0,1,0,0.1358,2.47,1,0
106,Burgos,1880,458,61,1,1,1,1,1,1,0,0,0,0,0.1695,3.731,2,0
107,Soria,1861,1708,34,1,1,1,0,1,1,0,0,1,0,0.0531,4.308,2,0
108,Salamanca,1004,675,102,1,1,1,1,2,1,0,0,2,0,0.0442,5.79,0,0
109,Zamora,1765,2972,423,1,1,1,1,1,1,1,0,0,0,0.1357,2.268,1,0
110,Avila,121,1441,54,1,1,1,1,2,1,2,0,0,0,0.096,5.34,1,0
111,Burgos,1111,163,197,1,1,1,1,5,1,1,0,0,0,0.4993,0.696,8,0
112,Zamora,2014,560,283,1,1,1,1,1,1,0,0,0,1,0.2604,5.67,1,0
113,Valladolid,5,2927,359,1,1,1,1,1,1,0,0,0,0,0.746,0.153,6,0
114,Segovia,1034,1949,118,1,1,1,1,2,1,2,0,0,0,0.1419,4.776,0,0
115,Salamanca,881,704,249,1,1,1,1,1,1,1,0,0,0,0.0105,8.084,0,0
